date,min,max,median,q1,q3,stdev,count
2023-03-31T00:00:00.000Z,10,35,18,13,27,7.505,118
2023-04-01T00:00:00.000Z,4,36,13,6,24,9.909,123
2023-04-02T00:00:00.000Z,4,34,10.5,6,20,9.03,110
2023-04-03T00:00:00.000Z,7,46,20,12,36,13.028,159
2023-04-04T00:00:00.000Z,6,41,15,12,27,9.348,146
2023-04-05T00:00:00.000Z,12,59,36,18,45,14.287,199
2023-04-06T00:00:00.000Z,11,64,29,15,47,17.527,195
2023-04-07T00:00:00.000Z,6,33,17.5,9,28,9.118,118
2023-04-08T00:00:00.000Z,5,35,16.5,9,28,9.821,118
2023-04-09T00:00:00.000Z,7,39,16,11,29,9.963,143
2023-04-10T00:00:00.000Z,3,42,20,6.5,30.5,12.036,129
2023-04-11T00:00:00.000Z,1,29,12,6,23,8.773,131
2023-04-12T00:00:00.000Z,1,25,6.5,5,14,6.579,118
2023-04-13T00:00:00.000Z,5,33,16,11,26,8.125,130
2023-04-14T00:00:00.000Z,9,54,24,22,35,11.211,196
2023-04-15T00:00:00.000Z,13,71,49.5,26,58,17.988,190
2023-04-16T00:00:00.000Z,9,61,33.5,13,53,18.709,176
2023-04-17T00:00:00.000Z,4,39,20,7,29,11.391,132
2023-04-18T00:00:00.000Z,3,32,19,8,27,9.46,144
2023-04-19T00:00:00.000Z,6,30,15,10.5,24.5,7.1,116
2023-04-20T00:00:00.000Z,5,56,34,14.5,51,18.933,153
2023-04-21T00:00:00.000Z,5,27,15.5,10,23,6.644,82
2023-04-22T00:00:00.000Z,11,74,50,44,60,14.796,175
2023-04-23T00:00:00.000Z,17,71,44,23,61,18.022,220
2023-04-24T00:00:00.000Z,9,60,29,17,46,16.05,186
2023-04-25T00:00:00.000Z,16,75,51,41,63,14.189,222
2023-04-26T00:00:00.000Z,38,80,73,59,76,11.331,213
2023-04-27T00:00:00.000Z,10,76,37.5,15,63,23.468,220
2023-04-28T00:00:00.000Z,14,60,28,19,48.5,14.964,225
2023-04-29T00:00:00.000Z,8,67,33,12,52,19.917,186
2023-04-30T00:00:00.000Z,13,60,22.5,18,39,13.735,182
2023-05-01T00:00:00.000Z,12,62,28,18,47,15.456,176
2023-05-02T00:00:00.000Z,15,48,25.5,19,37.5,10.002,164
2023-05-03T00:00:00.000Z,8,58,34,14,50,16.833,183
2023-05-04T00:00:00.000Z,8,45,20.5,11,35,12.539,180
2023-05-05T00:00:00.000Z,5,58,25,10,44,17.255,214
2023-05-06T00:00:00.000Z,4,41,16,7,27,11.302,155
2023-05-07T00:00:00.000Z,5,34,11,9,21.5,8.512,140
2023-05-08T00:00:00.000Z,11,60,23.5,18,44,14.794,198
2023-05-09T00:00:00.000Z,2,63,32,13.5,47,18.408,193
2023-05-10T00:00:00.000Z,4,67,28.5,20,47,16.251,238
2023-05-11T00:00:00.000Z,25,96,57,35,74,21.805,298
2023-05-12T00:00:00.000Z,20,81,38.5,25,75,23.302,238
2023-05-13T00:00:00.000Z,22,63,43.5,29,52,12.865,210
2023-05-14T00:00:00.000Z,23,71,49.5,41,62,12.804,256
2023-05-15T00:00:00.000Z,22,93,46,29,71,20.74,249
2023-05-16T00:00:00.000Z,8,74,34,12,54,21.316,223
2023-05-17T00:00:00.000Z,11,69,28,16,48,17.341,241
2023-05-18T00:00:00.000Z,26,63,38,30,53,11.215,241
2023-05-19T00:00:00.000Z,33,64,57,54,58,7.361,186
2023-05-20T00:00:00.000Z,17,73,41,27,63,18.173,243
2023-05-21T00:00:00.000Z,9,78,41,19,71,24.408,246
2023-05-22T00:00:00.000Z,13,61,28.5,17,50.5,16.416,216
2023-05-23T00:00:00.000Z,23,72,39,26,59,16.819,231
2023-05-24T00:00:00.000Z,26,72,45,34,62,14.11,269
2023-05-25T00:00:00.000Z,27,78,42.5,33,64,16.756,244
2023-05-26T00:00:00.000Z,18,71,36,29,49,13.726,259
2023-05-27T00:00:00.000Z,12,75,34.5,25,58,19.775,254
2023-05-28T00:00:00.000Z,9,57,25,17,45,14.776,227
